Plant #,Treatment,Germinant #,Germination Day,Height (on germination day) ,Root Length (mm),Root Weight (g),Total Weight (g),AGB Weight (g),notes,extra notes,,,,,,,,,,,,,,,,
16,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,8A,19,4,102.26,0.0015,0.0048,0.0033,,,,,,,,,,,,,,,,,,
16,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,9A,22,10,115.78,0.0019,0.0063,0.0044,,,,,,,,,,,,,,,,,,
16,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,10A,29,4,34.01,0.0004,0.002,0.0016,,,,,,,,,,,,,,,,,,
16,NC_FL,10B,39,5,10.59,0.0001,0.002,0.0019,most of root missing,,,,,,,,,,,,,,,,,
17,NC_FL,1A,19,5,116.81,0.0024,0.008,0.0056,,,,,,,,,,,,,,,,,,
17,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
17,NC_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
17,NC_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
17,NC_FL,3A,19,6,38.55,0.0005,0.006,0.0055,,,,,,,,,,,,,,,,,,
17,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
